"#","Event year","Season","Flag bearer","Sport"
"29","2018","Winter","Seamus O'Connor","Snowboarding"
"28","2016","Summer","Paddy Barnes","Boxing"
"27","2014","Winter","Conor Lyne","Alpine skiing"
"26","2012","Summer","Katie Taylor","Boxing"
"25","2010","Winter","Aoife Hoey","Bobsleigh"
"24","2008","Summer","Ciara Peelo","Sailing"
"23","2006","Winter","Kirsten McGarry","Alpine skiing"
"22","2004","Summer","Niall Griffin","Equestrianism"
"21","2002","Winter","Tamsen McGarry","Alpine skiing"
"20","2000","Summer","Sonia O'Sullivan","Athletics"
"19","1998","Winter","Terry McHugh","Bobsleigh & athletics"
"18","1996","Summer","Francie Barrett","Boxing"
"17","1992","Summer","Michelle Smith","Swimming"
"16","1992","Winter","Pat McDonagh","Bobsleigh & rowing"
"15","1988","Summer","Wayne McCullough","Boxing"
"14","1984","Summer","Gerry Mullins","Equestrianism"
"13","1980","Summer","Ken Ryan","Team manager"
"12","1976","Summer","Frank Moore","Rowing"
"11","1972","Summer","Ronnie McMahon","Equestrianism"
"10","1968","Summer","Jim McCourt","Boxing"
"9","1964","Summer","John Lawlor","Athletics"
"8","1960","Summer","Ron Delany","Athletics"
"7","1956","Summer","Tony Byrne","Boxing"
"6","1956","Summer","Kevin Barry","Equestrianism"
"5","1952","Summer","Paddy Carroll","Team Official"
"4","1948","Summer","Paddy Carroll","Team Official"
"3","1932","Summer","Pat O'Callaghan","Athletics"
"2","1928","Summer","Matt Flanagan","Boxing"
"1","1924","Summer","John O'Grady","Athletics"
