"Rank","Name","Image","Height ft (m)","Floors","Year","Notes"
"1","SunTrust Center","-","441 (134)","32 (including 2B, 2C)","1988","Office building"
"2","The Vue at Lake Eola","","426 (130)","35","2007","Residential Condominium"
"3","Orange County Courthouse","-","416 (127)","24","1997","Court house"
"4","Bank of America Center","-","409 (123)","28","1988","Commercial office"
"5","55 West on the Esplanade","","377 (115)","32","2008","Apartment Building"
"6","Solaire at the Plaza","-","359 (109)","30","2006","Residential condominium"
"7","Dynetech Centre","-","357 (109)","31","2008","Office and rental apartments"
"8","Citi Tower","-","293 (89)","25","2017","Apartment Building"
"9","Regions Bank Building","","282 (87)","20","1986","Commercial office"
"10","Premiere Trade Plaza Office Tower II","-","282 (86)","20","2006","Residential condominium"
"11","Citrus Center","-","280 (85)","19","1971","Commercial office"
"12","Modera Central","","280 (85)","22","2018","Apartment Building"
"13","The Waverly on Lake Eola","","267 (81)","21","1986","Residential Condominium"
"14","CNL Center City Commons","-","250 (76)","14","1999","Commercial office"
"15","Skyhouse Orlando","","249 (76)","23","2013","Apartment Building"
"16","Capital Plaza II","-","230 (70)","15","1999","Commercial office"
"17","Signature Plaza","","207 (64)","15","1982",""
