"Rank","Rating","Horse","Age","Sex","Trained","Surface","Distance (m)"
"1","123","Roses in May (USA)","5","H","United States","Dirt","2,000"
"1","123","Silent Witness (AUS)","5","G","Hong Kong","Turf","1,000"
"3","120","Grand Armee (AUS)","6","G","Australia","Turf","2,000"
"4","119","Makybe Diva (GB)","6","M","Australia","Turf","2,400"
"4","119","Vengeance of Rain (NZ)","4","G","Hong Kong","Turf","2,000"
"4","119","Vinnie Roe (IRE)","7","G","Ireland","Turf","3,200"
"7","118","Bullish Luck (USA)","6","G","Hong Kong","Turf","1,600 / 2,000"
"7","118","Elvstroem (AUS)","4","C","Australia","Turf","1,777 / 1,800 / 2,400"
"7","118","Fastnet Rock (AUS)","3","C","Australia","Turf","1,000"
"7","118","Savabeel (AUS)","3","C","Australia","Turf","2,040"
"11","117","Greys Inn (USA)","4","C","UAE","Turf","2,000 / 2,400"
"11","117","Mummify (AUS)","5","G","Australia","Turf","2,000"
"11","117","Starcraft (NZ)","4","C","Australia / GB","Turf","1,600"
"11","117","Touch of Land (FR)","5","H","France","Turf","2,000"
"15","116","Fields of Omagh (AUS)","7","G","Australia","Turf","2,040"
"15","116","Phoenix Reach (IRE)","5","H","Great Britain","Turf","2,400"
"17","115","Alexander Goldrun (IRE)","4","F","Ireland","Turf","2,000"
"17","115","Cape of Good Hope (GB)","7","G","Hong Kong","Turf","1,000 / 1,200"
"17","115","Dynever (USA)","5","H","United States","Dirt","2,000"
"17","115","Firebreak (GB)","5","G","UAE","Turf","1,600"
"17","115","Regal Roller (AUS)","5","G","Australia","Turf","1,400"
"17","115","Tycoon (GB)","4","C","UAE","Turf","2,400"
"17","115","Yard-Arm (SAF)","5","G","UAE","Turf","1,600"
