"Pos","Class","No.","Team","Drivers","Chassis","Engine","Tyre","Laps"
"1","S 5.0","6","United Kingdom JW Automotive Engineering","Belgium Jacky Ickx United Kingdom Jackie Oliver","Ford GT40","Ford 4.9L V8","F","372"
"2","P 3.0","64 (reserve)","Germany Porsche System Engineering","Germany Hans Herrmann France Gérard Larrousse","Porsche 908LH Coupé","Porsche 3.0L F8","D","372"
"3","S 5.0","7","United Kingdom JW Automotive Engineering","United Kingdom David Hobbs United Kingdom Mike Hailwood","Ford GT40","Ford 4.9L V8","F","368"
"4","P 3.0","33","France Equipe Matra - Elf","France Jean-Pierre Beltoise United Kingdom Piers Courage","Matra-Simca MS650","Matra 3.0L V12","D","368"
"5","P 3.0","32","France Equipe Matra - Elf","France Jean Guichet Italy Nino Vaccarella","Matra-Simca MS630","Matra 3.0L V12","D","359"
"6","S 5.0","68 (reserve)","Germany Deutsche Auto Zeitung","Germany Helmut Kelleners Germany Reinhold Joest","Ford GT40","Ford 4.7L V8","D","341"
"7","P 3.0","35","France Equipe Matra - Elf","Italy Giovanni ‘Nanni’ Galli United Kingdom Robin Widdows","Matra-Simca MS630/650","Matra 3.0L V12","D","330"
"8","S 5.0","17","United States North American Racing Team","Italy Teodoro Zeccoli United States Sam Posey","Ferrari 275LM","Ferrari 3.3L V12","G","329"
"9","S 2.0","39","France C. Poirot (private entrant)","France Christian Poirot France Pierre Maublanc","Porsche 910","Porsche 1991cc F6","D","312"
"10","GT 2.0","41","Belgium J.-P. Gaban (private entrant)","Belgium Jean-Pierre Gaban Belgium Yves Deprez","Porsche 911S","Porsche 1991cc F6","D","306"
"11","GT 2.0","40","France Auguste Veuillet","France Claude Ballot-Léna France Guy Chasseuil","Porsche 911T","Porsche 1991cc F6","D","301"
"12","P 1.15","50","France Société des Automobiles Alpine","France Alain Serpaggi France Christian Ethuin","Alpine A210","Renault-Gordini 1005cc S4","D","292"
"13","GT 2.0","44","France C. Laurent (private entrant)","France Claude Laurent France Jacques Marché","Porsche 911T","Porsche 1991cc F6","","287"
"14","GT 2.0","67 (reserve)","France P. Farjon (private entrant)","France Philippe Farjon France Jacques Dechaumel","Porsche 911S","Porsche 1991cc F6","D","286"
