"Draw","Artist","Song","Televote","Place"
"1","Ingrida Žiliūtė","%INLINEQ%You and I%INLINEQ%","638","9"
"2","Vilma Voroblevaitė","%INLINEQ%Vakaras%INLINEQ%","247","14"
"3*","Julija and Girma","%INLINEQ%To My Soul%INLINEQ%","466","12"
"4","Laiptai","%INLINEQ%Aš rasiu%INLINEQ%","1,216","8"
"5","%INLINEQ%Funny Beat%INLINEQ%","Evertown","1,677","7"
"6","Augustė","%INLINEQ%Do Somethin'%INLINEQ%","5,145","6"
"7","Mini Me","%INLINEQ%Yes%INLINEQ%","5,936","5"
"8","Pokeris","%INLINEQ%Stone%INLINEQ%","633","10"
"9","Justinas Lapatinskas","%INLINEQ%Muziką garsiau!%INLINEQ%","299","13"
"10","Jeronimas Milius","%INLINEQ%Nomads in the Night%INLINEQ%","11,674","1"
"11*","Aistė Pilvelytė","%INLINEQ%Troy on Fire%INLINEQ%","11,242","2"
"12","Sasha Son","%INLINEQ%Miss Kiss%INLINEQ%","8,306","3"
"13","Raimonda Masiulytė","%INLINEQ%Birdie's Tweet%INLINEQ%","7,391","4"
"14","Nerri","%INLINEQ%Step into this World%INLINEQ%","610","11"
