"Artist","Single","Released","Sales (in millions)","Source"
"Bing Crosby","%INLINEQ%White Christmas%INLINEQ%","1942","50",""
"Elton John","%INLINEQ%Candle in the Wind 1997%INLINEQ% / %INLINEQ%Something About the Way You Look Tonight%INLINEQ%","1997","33",""
"Mungo Jerry","%INLINEQ%In the Summertime%INLINEQ%","1970","30",""
"Bing Crosby","%INLINEQ%Silent Night%INLINEQ%","1935","30",""
"Bill Haley & His Comets","%INLINEQ%Rock Around the Clock%INLINEQ%","1954","25",""
"Whitney Houston","%INLINEQ%I Will Always Love You%INLINEQ%","1992","20",""
"Elvis Presley","%INLINEQ%It's Now or Never%INLINEQ%","1960","20",""
"USA for Africa","%INLINEQ%We Are the World%INLINEQ%","1985","20",""
"The Ink Spots","%INLINEQ%If I Didn't Care%INLINEQ%","1939","19",""
"Baccara","%INLINEQ%Yes Sir, I Can Boogie%INLINEQ%","1977","18",""
"Celine Dion","%INLINEQ%My Heart Will Go On%INLINEQ%","1997","18",""
"Mariah Carey","%INLINEQ%All I Want for Christmas Is You%INLINEQ%","1994","16",""
"Bryan Adams","%INLINEQ%(Everything I Do) I Do It for You%INLINEQ%","1991","15",""
"John Travolta and Olivia Newton-John","%INLINEQ%You're the One That I Want%INLINEQ%","1978","15",""
