"Name","Team","Location","Opened","Capacity","Surface","Ref"
"Regions Field","Birmingham Barons","Birmingham, Alabama","2013","8,500","Grass",""
"AT&T Field","Chattanooga Lookouts","Chattanooga, Tennessee","2000","6,362","Grass",""
"The Ballpark at Jackson","Jackson Generals","Jackson, Tennessee","1998","6,000","Grass",""
"Montgomery Riverwalk Stadium","Montgomery Biscuits","Montgomery, Alabama","2004","7,000","Grass",""
"Smokies Stadium","Tennessee Smokies","Kodak, Tennessee","2000","6,412","Grass",""
"MGM Park","Biloxi Shuckers","Biloxi, Mississippi","2015","6,076","Grass",""
"Baseball Grounds of Jacksonville","Jacksonville Jumbo Shrimp","Jacksonville, Florida","2003","11,000","Grass",""
"Trustmark Park","Mississippi Braves","Pearl, Mississippi","2005","8,480","Grass",""
"Hank Aaron Stadium","Mobile BayBears","Mobile, Alabama","1997","6,000","Grass",""
"Admiral Fetterman Field","Pensacola Blue Wahoos","Pensacola, Florida","2012","5,038","Grass",""
