"System","Operational","Closed","Pumping stations","Mains (miles)","Mains (km)","Pressure (psi)","Pressure (bar)"
"Hull","1876","1947","1","2.5","4","700","48"
"London","1883","1977","5","184","296","750","52"
"Liverpool","1888","1971","2","30","48","800","55"
"Melbourne","1889","1967","2","16","26","750","52"
"Birmingham","1891","","1","","","700","48"
"Sydney","1891","1975","1","50","80","750","52"
"Manchester","1894","1972","3","35","56","1,120","77"
"Antwerp","1894","","1","4.5","7.2","750","52"
"Glasgow","1895","1964","1","30","48","1,120","77"
"Geneva","1879","1958","1","109","175","94 / 203","6.5 / 14"
