"Model","Qty","Built","First in","Last out","Ref(s)"
"Jodel D.120","1","1958","1966","1972",""
"Malmö MFI-9B","2","1964","1968","1974",""
"Beagle Pup","1","1969","1974","1977",""
"Robin DR400","1","1976","1977","1978",""
"Piper Cherokee","2","1976","1977","2001",""
"Piper Chieftain","1","1978","1980","1990",""
"Piper Tomahawk","1","1979","1980","1985",""
"Piper Seneca","1","1971","1985","1987",""
"Fuji FA-200 Aero Subaru","1","1985","1986","1996",""
"Socata Rallye","1","1980","1987","1993",""
"Grumman Cougar","1","1977","1987","?",""
"Bellanca Super Decathlon","1","1978","1987","1998",""
"Dornier Do 228","2","1984–85","1989","1992",""
