"#","Weight","Competitor","Year","Record Set"
"1","222.5kg","Lithuania Žydrūnas Savickas","2013","World Record"
"2","220kg","Burkina Faso Cheick "Iron Biby" Sanou","2019","Burkinabé Record"
"3","214kg","United States Rob Kearney","2019","American Record"
"4","214kg","England Graham Hicks","2019","English Record"
"5","214kg","Poland Mateusz Kieliszkowski","2019",""
"6","213kg","England Eddie Hall","2018","English Record"
"7","213kg","Burkina Faso Cheick "Iron Biby" Sanou","2018","Burkinabé Record"
"8","213kg","Iceland Hafþór Júlíus Björnsson","2018","Icelandic Record"
"9","212.5kg","Lithuania Žydrūnas Savickas","2009","World Record"
"10","211kg","England Graham Hicks","2015","English Record"
