"#","Date","Visitor","Score","Home","OT","Decision","Attendance","Record","Pts"
"52","February 2","New York Islanders","1–4","Montreal","","Huet","21,273","28–15–9","65"
"53","February 3","New York Rangers","5–3","Montreal","","Huet","21,273","28–16–9","65"
"54","February 5","Ottawa Senators","3–4","Montreal","","Huet","21,273","29–16–9","67"
"55","February 7","Toronto Maple Leafs","4–2","Montreal","","Price","21,273","29–17–9","67"
"56","February 9","Montreal","1–6","Ottawa Senators","","Huet","20,292","29–18–9","67"
"57","February 12","Montreal","2–3","Tampa Bay Lightning","","Huet","17,420","29–19–9","67"
"58","February 13","Montreal","2–1","Florida Panthers","OT","Price","17,100","30–19–9","69"
"59","February 16","Philadelphia Flyers","0–1","Montreal","","Price","21,273","31–19–9","71"
"60","February 17","Montreal","5–3","Philadelphia Flyers","","Price","19,611","32–19–9","73"
"61","February 19","New York Rangers","5–6","Montreal","SO","Huet","21,273","33–19–9","75"
"62","February 21","Pittsburgh Penguins","5–4","Montreal","","Huet","21,273","33–20–9","75"
"63","February 23","Columbus Blue Jackets","3–0","Montreal","","Price","21,273","33–21–9","75"
"64","February 26","Atlanta Thrashers","1–5","Montreal","","Price","21,273","34–21–9","77"
"65","February 29","Montreal","6–2","Buffalo Sabres","","Price","18,690","35–21–9","79"
