"#","Event Title","Date","Arena","Location","Attendance","Broadcast"
"26","Strikeforce: Evolution","December 19, 2009","HP Pavilion at San Jose","San Jose, California","14,749","Showtime"
"25","Strikeforce Challengers: Woodley vs. Bears","November 20, 2009","Memorial Hall","Kansas City, Kansas","2,088","Showtime"
"24","Strikeforce: Fedor vs. Rogers","November 7, 2009","Sears Centre","Hoffman Estates, Illinois","11,512","CBS"
"23","Strikeforce Challengers: Gurgel vs. Evangelista","November 6, 2009","Save Mart Center","Fresno, California","4,157","Showtime"
"22","Strikeforce Challengers: Kennedy vs. Cummings","September 25, 2009","SpiritBank Event Center","Bixby, Oklahoma","2,336","Showtime"
"21","Strikeforce: Carano vs. Cyborg","August 15, 2009","HP Pavilion at San Jose","San Jose, California","13,976","Showtime"
"20","Strikeforce Challengers: Villasenor vs. Cyborg","June 19, 2009","ShoWare Center","Kent, Washington","2,836","Showtime"
"19","Strikeforce: Lawler vs. Shields","June 6, 2009","Scottrade Center","St. Louis, Missouri","8,867","Showtime"
"18","Strikeforce Challengers: Evangelista vs. Aina","May 15, 2009","Save Mart Center","Fresno, California","2,322","Showtime"
"17","Strikeforce: Shamrock vs. Diaz","April 11, 2009","HP Pavilion at San Jose","San Jose, California","15,211","Showtime"
