"Player","Pos.","Team","Career start","Career end","Games played","Assists","Ref."
"Bobby Hurley","G","Duke","1989","1993","140","1,076",""
"Chris Corchiani","G","NC State","1987","1991","124","1,038",""
"Ed Cota","G","North Carolina","1996","2000","138","1,030",""
"Jason Brickman","G","LIU Brooklyn","2010","2014","130","1,009",""
"Keith Jennings","G","East Tennessee State","1987","1991","127","983",""
"Steve Blake","G","Maryland","1999","2003","138","972",""
"Sherman Douglas","G","Syracuse","1985","1989","138","960",""
"Tony Miller","G","Marquette","1991","1995","123","956",""
"Aaron Miles","G","Kansas","2001","2005","138","954",""
"Greg Anthony","G","Portland / UNLV","1987","1991","138","950",""
"Doug Gottlieb","G","Notre Dame / Oklahoma State","1995","2000","124","947",""
"Gary Payton*","G","Oregon State","1986","1990","120","939",""
"D. J. Cooper","G","Ohio","2009","2013","143","934",""
"Orlando Smart","G","San Francisco","1990","1994","116","902",""
"Andre LaFleur","G","Northeastern","1983","1987","128","894",""
"Chico Fletcher","G","Arkansas State","1996","2000","114","893",""
"Jim Les","G","Cleveland State / Bradley","1982","1986","118","884",""
"Frank Smith","G","Old Dominion","1984","1988","120","883",""
"Scott Machado","G","Iona","2008","2012","132","880",""
"Taurence Chisholm","G","Delaware","1984","1988","110","877",""
"Speedy Smith","G","Louisiana Tech","2011","2015","140","858",""
"Grayson Marshall","G","Clemson","1984","1988","122","857",""
"Anthony Manuel","G","Bradley (2)","1985","1989","108","855",""
"Brett Comer","G","Florida Gulf Coast","2011","2015","137","845",""
"Chaz Williams","G","Hofstra / UMass","2009","2014","136","840",""
