"Heat","Place","Athlete","Country","Time","Notes"
"1","1","Ben Fouhy","New Zealand","3:26.064","QF"
"1","2","Roland Kökény","Hungary","3:27.904","QS"
"1","3","Adam Seroczyński","Poland","3:28.464","QS"
"1","4","Javier Correa","Argentina","3:28.492","QS"
"1","5","Róbert Erban","Slovakia","3:30.576","QS"
"1","6","Alan van Coller","South Africa","3:32.516","QS"
"1","7","Jernej Zupancic Regent","Slovenia","3:32.552","QS"
"1","8","Apostolos Papandreou","Greece","3:41.664",""
"1","9","Tony Lespoir","Seychelles","4:17.128",""
"2","1","Tim Brabants","Great Britain","3:24.412","QF"
"2","2","Adam van Koeverden","Canada","3:24.984","QS"
"2","3","Roei Yellin","Israel","3:34.036","QS"
"2","4","Andrey Shkiotov","Russia","3:35.708","QS"
"2","5","Andrea Facchin","Italy","3:36.492","QS"
"2","6","Simon Faeh","Switzerland","3:41.392","QS"
"2","7","Benjamin Lewis","United States","3:43.052","QS"
"2","8","Danila Turchin","Uzbekistan","3:48.140",""
"3","1","Eirik Verås Larsen","Norway","3:25.150","QF"
"3","2","Nathan Baggaley","Australia","3:29.414","QS"
"3","3","Emanuel Silva","Portugal","3:29.854","QS"
"3","4","Björn Goldschmidt","Germany","3:31.310","QS"
"3","5","Sebastian Cuattrin","Brazil","3:36.506","QS"
"3","6","Bâbak Amir-Tahmasseb","France","3:36.882","QS"
"3","7","Romas Petrukanecas","Lithuania","3:37.758","QS"
"3","8","Liu Haitao","China","3:38.522",""
