"No. overall","No. in season","Title","Original air date","Kantar media rating (nationwide)"
"914","1",""Tahanan"","April 8, 2019","38.8%"
"915","2",""Pasalamat"","April 9, 2019","41.2%"
"916","3",""Kampihan"","April 10, 2019","38.4%"
"917","4",""Tungkulin"","April 11, 2019","37.6%"
"918","5",""Bagong Misyon"","April 12, 2019","39.1%"
"919","6",""Paglilingkod"","April 15, 2019","36.8%"
"920","7",""Kampo"","April 16, 2019","37.5%"
"921","8",""Training"","April 17, 2019","37.2%"
"922","9",""Lakas"","April 22, 2019","36.9%"
"923","10",""Puntirya"","April 23, 2019","36.5%"
"924","11",""Pinaginitan"","April 24, 2019","36.7%"
"925","12",""Seremonya"","April 25, 2019","TBD"
"926","13",""Natuklasan"","April 26, 2019","TBD"
