"Pos.","Rider","Points","Germany","Latvia","Russia","Poland"
"1","Denmark (3) Nicki Pedersen","40","7","6","10","17"
"2","Czech Republic (13) Václav Milík","38","8","9","10","11"
"3","Poland (507) Krzysztof Kasprzak","38","11","5","8","14"
"4","Russia (7) Grigory Laguta","37","–","13","14","10"
"5","Denmark (66) Leon Madsen","37","7","8","11","11"
"6","Sweden (85) Antonio Lindbäck","37","8","7","14","8"
"7","Russia (89) Emil Sayfutdinov","35","8","10","5","12"
"8","Poland (59) Przemysław Pawlicki","33","9","9","8","7"
"9","Latvia (29) Andžejs Ļebedevs","26","8","7","6","5"
"10","Finland (610) Joonas Kylmäkorpi","25","–","14","5","6"
"11","Slovakia (54) Martin Vaculík","24","12","4","8","0"
"12","Poland (27) Janusz Kołodziej","24","9","4","6","5"
"13","Denmark (34) Hans N. Andersen","24","7","8","9","–"
"14","Denmark (5) Anders Thomsen","20","6","9","5","0"
"15","Sweden (36) Peter Ljung","16","5","2","3","6"
"16","Latvia (16) Maksims Bogdanovs","11","–","11","–","–"
"17","Germany (15) Kai Huckenbeck","9","9","–","–","–"
"18","Poland (16) Kacper Woryna","6","–","–","–","6"
"19","Italy (78) Nicolás Covatti","5","1","–","–","4"
"20","Germany (16) Tobias Busch","4","4","–","–","–"
"21","Russia (16) Andrey Kudryashov","3","–","–","3","–"
"22","Poland (17) Robert Chimel","3","–","–","–","3"
"23","Germany (17) Tobias Kroner","1","1","–","–","–"
"24","Poland (18) Dominik Kucera","1","–","–","–","1"
"25","Russia (17) Mikhail Litvinov","0","–","–","0","–"
"26","Russia (18) Gleb Chugunov","0","–","–","0","–"
