"Rank","Name","Nepali","District","Province","Population (2011)","Area","Website"
"1","Janakpur","जनकपुरधाम","Dhanusha","Province No. 2","159,468","91.97","[7]"
"2","Ghorahi","घोराही","Dang","Province No. 5","156,164","522.21","[8]"
"3","Hetauda","हेटौडा","Makawanpur","Province No. 3","152,875","261.59","[9]"
"4","Dhangadhi","धनगढी","Kailali","Sudurpashchim","147,741","261.75","[10]"
"5","Tulsipur","तुल्सिपुर","Dang","Province No. 5","141,528","384.63","[11]"
"6","Itahari","ईटहरी","Sunsari","Province No. 1","140,517","93.78","[12]"
"7","Nepalgunj","नेपालगंज","Banke","Province No. 5","138,951","85.94","[13]"
"8","Butwal","बुटवल","Rupandehi","Province No. 5","138,741","101.61","[14]"
"9","Dharan","धरान","Sunsari","Province No. 1","137,705","192.32","[15]"
"10","Kalaiya","कलैया","Bara","Province No. 2","123,659","108.94","[16]"
"11","Jitpur Simara","जीतपुरसिमरा","Bara","Province No. 2","117,496","312.18","[17]"
