"Member School","Location","School District Population (2010)","Enrollment","Year Joined","Nickname","Colors","Football Division"
"Appleton East","Appleton, WI","91,729","1,550","1970","Patriots","Scarlet, Navy, & White","North"
"Appleton North","Appleton, WI","91,729","1,780","1995","Lightning","Navy, & Gold","North"
"Appleton West","Appleton, WI","91,729","1,465","1970","Terrors","Orange & Blue","North"
"Fond du Lac","Fond du Lac, WI","50,363","2,100","1989","Cardinals","Red & White","South"
"Hortonville","Hortonville, WI","18,886","1,120","2014","Polar Bears","Red & White","South"
"Kaukauna","Kaukauna, WI","22,348","1,123","1970","Galloping Ghosts","Orange & Black","North"
"Kimberly","Kimberly, WI","26,074","1,465","1970","Papermakers","Red & White","North"
"Neenah","Neenah, WI","43,109","1,977","1970","Rockets","Red & White","South"
"Oshkosh North","Oshkosh, WI","71,923","1,293","1972","Spartans","Green & Gold","South"
"Oshkosh West","Oshkosh, WI","71,923","1,650","1970","Wildcats","Royal Blue & White","South"
