"School","Location","Mascot","Colors","County","Year Joined","Previous Conference","Year Left","Conference Joined"
"Arcola","Arcola","Aces","","02 Allen","1956","","1968","none (consolidated into Carroll (FW))"
"Elmhurst","Fort Wayne","Trojans","","02 Allen","1956","","1960","Northeastern Indiana"
"Harlan","Harlan","Hawks","","02 Allen","1956","","1965","none (consolidated into Woodlan)"
"Hoagland","Hoagland","Wildcats","","02 Allen","1956","","1968","none (consolidated into Heritage)"
"Huntertown","Huntertown","Wildcats","","02 Allen","1956","","1968","none (consolidated into Carroll (FW))"
"Lafayette Central1","Nine Mile","Pirates","","02 Allen","1956","","1963","none (consolidated into Roanoke)"
"Leo","Leo","Lions","","02Allen","1956","","2015","Northeast Eight"
"Monroeville","Monroeville","Cubs","","02 Allen","1956","","1968","none (consolidated into Heritage)"
"Ossian","Ossian","Bears","","90 Wells","1966","Eastern Wabash Valley","1967","none (consolidated into Norwell)"
"Norwell","Ossian","Knights","","90 Wells","1967","none (new school)","1989","Northeast Hoosier"
"Carroll (Fort Wayne)","Fort Wayne","Chargers","","02 Allen","1968","none (new school)","1989","Northeast Hoosier"
"Churubusco","Churubusco","Eagles","","92 Whitley","1968","Independents (WCC 1958)","1989","Northeast Corner"
"Eastside","Butler","Blazers","","17 DeKalb","1968","Independents (SCC 1967)","1980","Northeast Corner"
"Homestead","Fort Wayne","Spartans","","02 Allen","1971","none (new school)","1975","Northeastern Indiana"
"Garrett","Garrett","Railroaders","","17 DeKalb","2005","Northeast Corner","2014","Northeast Corner"
