"Venue","Sports(s)","Location","Capacity","Cost (MNOK)","Ref(s)"
"Birkebeineren Ski Stadium","Biathlon, cross-country skiing, Nordic combined (cross-country skiing)","Lillehammer","34,000","81",""
"Gjøvik Olympic Cavern Hall","Ice hockey","Gjøvik","5,300","92",""
"Håkon Hall","Ice hockey","Lillehammer","10,500","240",""
"Hamar Olympic Amphitheatre","Figure skating, short track speed skating","Hamar","6,000","87",""
"Hamar Olympic Hall","Speed skating","Hamar","10,600","222",""
"Kanthaugen Freestyle Arena","Freestyle skiing","Lillehammer","15,000","17",""
"Lillehammer Olympic Alpine Centre Hafjell","Alpine skiing (slalom, giant slalom, combined)","Øyer","30,000","72",""
"Lillehammer Olympic Alpine Centre Kvitfjell","Alpine skiing (downhill, super-G, combined)","Ringebu","41,000","122",""
"Lillehammer Olympic Bobsleigh and Luge Track","Bobsleigh, luge","Lillehammer","10,000","204",""
"Lysgårdsbakkene Ski Jumping Arena","Nordic combined (ski jumping), ski jumping, opening and closing ceremonies","Lillehammer","35,000","135",""
