"Pos.","Race","Time","Pos.","Allround rankings","Points"
"","Erben Wennemars (NED)","35.79","1.","Erben Wennemars (NED)","35.790"
"","Denny Morrison (CAN)","35.81","2.","Denny Morrison (CAN)","35.810"
"","Shani Davis (USA)","35.84","3.","Shani Davis (USA)","35.840"
"4.","Enrico Fabris (ITA)","36.27","4.","Enrico Fabris (ITA)","36.270"
"5.","Sven Kramer (NED)","36.41","5.","Sven Kramer (NED)","36.410"
"6.","Ivan Skobrev (RUS)","36.43","6.","Ivan Skobrev (RUS)","36.430"
"7.","Stefan Heythausen (GER)","36.44","7.","Stefan Heythausen (GER)","36.440"
"8.","Choi Kwun-won (KOR)","36.53","8.","Choi Kwun-won (KOR)","36.530"
"9.","Håvard Bøkko (NOR)","36.58","9.","Håvard Bøkko (NOR)","36.580"
"10.","Steven Elm (CAN)","36.66","10.","Steven Elm (CAN)","36.660"
"12.","Chad Hedrick (USA)","36.77","12.","Chad Hedrick (USA)","36.770"
"15.","Carl Verheijen (NED)","37.13","15.","Carl Verheijen (NED)","37.130"
"16.","Eskil Ervik (NOR)","37.40","16.","Eskil Ervik (NOR)","37.400"
