"Conf. Rank","Team","Head coach","Overall record","Conf. record","PPG","PAG"
"1","Iowa","Howard Jones","7–0","5–0","26.4","5.1"
"2 (tie)","Chicago","Amos Alonzo Stagg","6–1","4–1","15.9","1.9"
"2 (tie)","Ohio State","John Wilce","5–2","4–1","15.7","2.0"
"4","Wisconsin","John R. Richards","5–1–1","3–1–1","20.1","1.9"
"5","Michigan","Fielding H. Yost","5–1–1","2–1–1","26.7","3.0"
"6","Indiana","Ewald O. Stiehm","3–4","1–2","12.3","13.4"
"7","Minnesota","Henry L. Williams","3–4","2–4","8.6","20.1"
"8 (tie)","Illinois","Robert Zuppke","3–4","1–4","12.6","7.3"
"8 (tie)","Purdue","William Henry Dietz","1–6","1–4","1.3","13.6"
"10","Northwestern","Elmer McDevitt","1–6","0–5","4.9","17.1"
