"","Attendance","Opponent","Date","Result"
"1","6,421","Oklahoma^","Nov 16, 2012","L 59–63"
"2","6,336","CSU Bakersfield","March 22, 2017","L 76–80"
"3","6,228","UTSA^^","Feb 1, 2012","W 67–66"
"4","6,107","North Texas","Dec 3, 2015","W 90–67"
"5","5,590","Georgia Southern","Feb 22, 2018","W 70-49"
"6","5,390","Akron","March 20, 2017","W 85-69"
"7","5,272","Texas State","Feb 11, 2012","W 73–53"
"8","5,033","Little Rock^^^","Jan 23, 2016","L 62–68"
"9","5,011","Little Rock^^^","Feb 29, 2017","L 49–58"
"10","4,837","Utah State","March 2, 2013","W 61–46"
