"#","Image","Stadium","Capacity","City","Club","Opened"
"1","Sheriff Stadium Panorama.JPG","Sheriff Stadium","13,000","Tiraspol","FC Sheriff Tiraspol","2002"
"2","Zimbru Stadium.JPG","Zimbru Stadium","10,500","Chişinău","Moldova, FC Zimbru","2006"
"3","","Stadionul Moldova","8,550","Speia","FC Dacia Chişinău",""
"4","","Stadionul Republican","8,084","Chişinău","Demolished since 2007","1952"
"5","","Malaya Sportivnaya Arena","8,000","Tiraspol","FC Sheriff-2 Tiraspol","2002"
"6","","Dinamo Stadium","5,061","Bender","FC Dinamo Bender","2006"
"7","St. Olimpia din Bălți CN.JPG","Olimpia Bălţi Stadium","5,000","Bălţi","FC Olimpia Bălţi","1955"
"8","-","Dinamo Stadium","3,000","Chişinău","FC Politehnica Chişinău",""
"9","","CSR Orhei","2,539","Orhei","FC Milsami",""
"10","","Orăşenesc Stadium","2,000","Rîbniţa","FC Iskra-Stali Rîbniţa",""
"11","","Călărășeuca Stadium","2,000","Otaci","FC Nistru Otaci",""
"12","-","Ghidighici Stadium","1,500","Ghidighici","FC Rapid Ghidighici","2006"
"13","-","Suruceni Stadium","1,000","Suruceni","FC Sfîntul Gheorghe","2009"
