"Year","Artist","Song","Language","Place","Points"
"2007","Arevik",""Erazanq" (Երազանք)","Armenian","2","136"
"2008","Monica Manucharova",""Im Ergy Hynchune (Իմ Երգի Հնչյունը)"","Armenian","8","59"
"2009","Luara Hayrapetyan",""Barcelona" (Բարսելոնա)","Armenian","2","116"
"2010","Vladimir Arzumanyan",""Mama" (Մամա)","Armenian","1","120"
"2011","Dalita",""Welcome to Armenia"","Armenian, English","5","85"
"2012","Compass Band",""Sweetie Baby"","Armenian, English","3","98"
"2013","Monica Avanesyan",""Choco-Factory"","Armenian, English","6","69"
"2014","Betty",""People of the Sun"","Armenian, English","3","146"
"2015","Mika",""Love"","Armenian, English","2","176"
"2016","Anahit & Mary",""Tarber" (Տարբեր)","Armenian, English","2","232"
"2017","Misha",""Boomerang"","Armenian, English","6","148"
"2018","L.E.V.O.N",""L.E.V.O.N"","Armenian","9","125"
