"Rank","Airport","Location","Code (IATA/ICAO)","Rank Change","Total Cargo (tonnes)","% Change"
"1.","Hong Kong Hong Kong International Airport","Chek Lap Kok, Islands, New Territories, Hong Kong","HKG/VHHH","","5,049,898","9.4%"
"2.","United States Memphis International Airport","Memphis, Tennessee, United States","MEM/KMEM","","4,336,752","0.3%"
"3.","China Shanghai Pudong International Airport","Pudong, Shanghai, China","PVG/ZSPD","","3,824,280","11.2%"
"4.","South Korea Incheon International Airport","Incheon, Seoul National Capital Area, South Korea","ICN/RKSI","1","2,921,691","7.6%"
"5.","United States Ted Stevens Anchorage International Airport","Anchorage, Alaska, United States","ANC/PANC","1","2,713,230","6.7%"
"6.","United Arab Emirates Dubai International Airport","Dubai, United Arab Emirates","DXB/OMDB","","2,654,494","2.40%"
"7.","United States Louisville International Airport","Louisville, Kentucky, United States","SDF/KSDF","","2,602,695","6.80%"
"8.","Japan Narita International Airport","Narita, Chiba, Kantō, Honshū, Japan","NRT/RJAA","2","2,336,427","7.9%"
"9.","Taiwan Taiwan Taoyuan International Airport","Dayuan, Taoyuan, Taiwan","TPE/RCTP","4","2,269,585","8.2%"
"10.","France Charles de Gaulle Airport","Seine-et-Marne/Seine-Saint-Denis/Val-d'Oise, Île-de-France, France","CDG/LFPG","1","2,195,229","2.8%"
