"Year","Winner","Age","Jockey","Trainer","Owner","Distance","Time","Purse","Grade"
"2018","Imprimis","4","Irad Ortiz","Joseph Orseno","Breeze Easy, LLC","5 fur.","1:03.81","$100,000",""
"2017","Richard's Boy","5","Paco Lopez","Peter Miller","Rockingham Ranch","5 fur.","56.20","$100,000",""
"2016","Ben's Cat","10","Trevor McCarthy","King T. Leatherbury","The Jim Stable","5 fur.","56.10","$100,000",""
"2015","Ben's Cat","9","Julian Pimentel","King T. Leatherbury","The Jim Stable","5 fur.","56.04","$100,000",""
"2014","Ben's Cat","8","Julian Pimentel","King T. Leatherbury","The Jim Stable","5 fur.","57.75","$100,000",""
"2013","Ben's Cat","7","Julian Pimentel","King T. Leatherbury","The Jim Stable","5 fur.","56.18","$100,000",""
"2012","Fidlers Patriot","6","John Velazquez","George Weaver","J. Olson & Hill Stable","5 fur.","56.12","$100,000",""
"2011","Ben's Cat","5","Jeremy Rose","King T. Leatherbury","The Jim Stable","5 fur.","59.71","$75,000",""
"2010","Central City","4","Julien Leparoux","Ronnie W. Werner","Preston Stable LLC","5 fur.","56.18","$70,000",""
"2009","Mr. Nightlinger","5","Jamie Theriot","William B. Calhoun","Martin Racing Stable","5 fur.","56.29","$100,000",""
"2008","Heros Reward","6","Javier Castellano","Dale Capuano","Rob Ry Farm","5 fur.","59.19","$100,000",""
"2007","Heros Reward","5","Edgar Prado","Dale Capuano","Rob Ry Farm","5 fur.","55.90","$100,000",""
"2006","My Lord","7","Rosie Napravnik","Ann W. Merryman","David A. Ross","5 fur.","57.40","$100,000",""
