"Rank","Name","Image","Height m","Floors","Year","Neighbourhood"
"1","Mirante do Vale","-","170","51","1960","Santa Ifigênia, Downtown"
"2","Edifício Itália","Itália Building in São Paulo (By Felipe Mostarda).JPG","165","45","1965","República, Downtown"
"3","Altino Arantes Building","Banespa (By Felipe Mostarda).JPG","161","40","1947","Sé, Downtown"
"4","Edifício Emiliano Anália Franco","","160","42","2012","Jardim Anália Franco, Vila Formosa"
"5","Torre Norte","-","158","45","2000","Brooklin, Itaim Bibi"
"6","Company Business Towers Torre A aka Brookfield Towers","","158","41","2010","Granja Julieta, Santo Amaro"
"6=","Edifício Begônias","-","158","41","2008","Cidade Jardim, Morumbi"
"6=","Edifício Jabuticabeiras","-","158","41","2008","Cidade Jardim, Morumbi"
"6=","Edifício Magnólias","-","158","41","2008","Cidade Jardim, Morumbi"
"6=","Edifício Resedá","-","158","41","2008","Cidade Jardim, Morumbi"
"6=","Edifício Zíneas","","158","41","2008","Cidade Jardim, Morumbi"
"6=","Edifício Ipês","","158","41","2008","Cidade Jardim, Morumbi"
"6=","Edifício Limantos","","158","41","2010","Cidade Jardim, Morumbi"
"14","Flórida Penthouses A","","152","40","2008","Brooklin, Itaim Bibi"
"15","Torre São Paulo","","151","35","2009","Itaim Bibi, Itaim Bibi"
"16","E-Tower","-","148","39","2005","Itaim Bibi, Itaim Bibi"
