"Year","Games","Host","Dates","Nations","Athletes","Ref"
"1978","1","United Kingdom Portsmouth, Great Britain","","","",""
"1979","2","United Kingdom Portsmouth, Great Britain","","","",""
"1980","3","United States New York City, United States","","","",""
"1982","4","Greece Athens, Greece","","","",""
"1984","5","Netherlands Amsterdam, Netherlands","","","",""
"1987","6","Austria Innsbruck, Austria","","","",""
"1989","7","Singapore Singapore","","","",""
"1991","8","Hungary Budapest, Hungary","","","",""
"1993","9","Canada Vancouver, British Columbia, Canada","","","",""
"1995","10","United Kingdom Manchester, Great Britain","","","",""
"1997","11","Australia Sydney, Australia","","","",""
"1999","12","Hungary Budapest, Hungary","","","",""
"2001","13","Japan Kobe, Japan","","","",""
"2003","14","France Nancy, France","","","",""
"2005","15","Canada London, Ontario, Canada","","","",""
"2007","16","Thailand Bangkok, Thailand","","","",""
"2009","17","Australia Gold Coast, Australia","","","",""
"2011","18","Sweden Goteborg, Sweden","","","",""
"2013","19","South Africa Durban, South Africa","","","",""
"2015","20","Argentina Mar del Plata, Argentina","23 – 30 August","44","1,110",""
"2017","21","Spain Málaga, Spain","25 June – 2 July","52","2,500",""
