"School","Community","Mascot","Colors","2017-18 Enrollment","School type","Year joined","Previous conference"
"Blue Ridge High School","Farmer City, Illinois","Knights","","227","Public","2006","Sangamon Valley"
"Deer Creek-Mackinaw High School","Mackinaw, Illinois","Chiefs","","330","Public","2006","Midstate"
"El Paso-Gridley High School","El Paso, Illinois","Titans","","374","Public","2006","Midstate"
"Eureka High School","Eureka, Illinois","Hornets","","492","Public","2016","Corn Belt"
"Fieldcrest High School","Minonk, Illinois","Knights","","337","Public","2006","Midstate"
"Fisher High School","Fisher, Illinois","Bunnies","","186","Public","2006","Sangamon Valley"
"Flanagan-Cornell High School","Flanagan, Illinois","Falcons","","146","Public","2006","Midstate"
"GCMS High School","Gibson City, Illinois","Falcons","","328","Public","2006","Sangamon Valley"
"Heyworth High School","Heyworth, Illinois","Hornets","","270","Public","2006","Midstate"
"Le Roy High School","Le Roy, Illinois","Panthers","","231","Public","2006","Sangamon Valley"
"Lexington High School","Lexington, Illinois","Minutemen","","137","Public","2006","Midstate"
"Ridgeview High School","Colfax, Illinois","Mustangs","","149","Public","2006","Midstate"
"Tremont High School","Tremont, Illinois","Turks","","299","Public","2006","Midstate"
"Tri-Valley High School","Downs, Illinois","Vikings","","341","Public","2006","Sangamon Valley"
