"Week","Date","Opponent","Result","Record","Attendance"
"1","September 30","Cleveland Browns","W 9–7","1–0","20,966"
"2","October 7","New York Giants","W 35–27","2–0","21,799"
"3","October 14","at Washington Redskins","W 31–3","3–0","25,794"
"4","October 21","at Philadelphia Eagles","W 20–6","4–0","36,545"
"5","October 28","Washington Redskins","L 17–14","4–1","30,553"
"6","November 4","Philadelphia Eagles","W 28–17","5–1","27,609"
"7","November 11","at New York Giants","L 23–10","5–2","62,410"
"8","November 18","at Pittsburgh Steelers","L 14–7","5–3","24,086"
"9","November 25","Pittsburgh Steelers","W 38–27","6–3","17,724"
"10","December 2","Green Bay Packers","L 24–21","6–4","22,620"
"11","December 9","at Chicago Bears","L 10–3","6–5","48,606"
"12","December 16","at Cleveland Browns","W 24–7","7–5","25,312"
