"No. overall","No. in season","Original air date","Performer 1","Performer 2","Performer 3","Performer 4","U.S. viewers"
"1","1","August 5, 1998","Greg Proops","Wayne Brady","Colin Mochrie","Ryan Stiles","7.6 rating, 7.4 million"
"2","2","August 12, 1998","Brad Sherwood","Wayne Brady","Colin Mochrie","Ryan Stiles","7.9 rating, 7.7 million"
"3","3","August 19, 1998","Greg Proops","Wayne Brady","Colin Mochrie","Ryan Stiles","8.1 rating, 7.9 million"
"4","4","August 26, 1998","Brad Sherwood","Wayne Brady","Colin Mochrie","Ryan Stiles","7.9 rating"
"5","5","September 2, 1998","Brad Sherwood","Karen Maruyama","Colin Mochrie","Ryan Stiles","7.9 rating, 7.9 million"
"6","6","September 9, 1998","Brad Sherwood","Kathy Kinney","Colin Mochrie","Ryan Stiles","7.5 rating"
"7","7","September 23, 1998","Greg Proops","Wayne Brady","Colin Mochrie","Ryan Stiles","Not in top 20"
"8","8","October 17, 1998","Wayne Brady","Denny Siegel","Colin Mochrie","Ryan Stiles","N/A"
"9","9","December 16, 1998","Greg Proops","Wayne Brady","Colin Mochrie","Ryan Stiles","8.5 rating"
"10","10","January 6, 1999","Wayne Brady","Denny Siegel","Colin Mochrie","Ryan Stiles","9.8 rating"
"11","11","January 13, 1999","Greg Proops","Wayne Brady","Colin Mochrie","Ryan Stiles","9.3 rating"
"12","12","January 20, 1999","Brad Sherwood","Wayne Brady","Colin Mochrie","Ryan Stiles","8.5 rating"
"13","13","January 27, 1999","Wayne Brady","Denny Siegel","Colin Mochrie","Ryan Stiles","9.3 rating"
"14","14","February 3, 1999","Brad Sherwood","Ian Gomez","Colin Mochrie","Ryan Stiles","8.8 rating"
"15","15","February 10, 1999","Greg Proops","Wayne Brady","Colin Mochrie","Ryan Stiles","9.3 rating"
"16","16","February 17, 1999","Brad Sherwood","Wayne Brady","Colin Mochrie","Ryan Stiles","9.3 rating"
"17","17","February 24, 1999","Wayne Brady","Stephen Colbert","Colin Mochrie","Ryan Stiles","7.7 rating"
"18","18","March 10, 1999","Wayne Brady","Denny Siegel","Colin Mochrie","Ryan Stiles","N/A"
"19","19","March 10, 1999","Brad Sherwood","Wayne Brady","Colin Mochrie","Ryan Stiles","8.0 rating"
"20","20","March 24, 1999","Greg Proops","Denny Siegel","Colin Mochrie","Ryan Stiles","N/A"
