"Number","Year","Form","Location","Gold","Silver","Bronze"
"1","2000","Swiss system","Ukraine, Zaporizhia","Russia Tamara Tansykkuzhina","Ukraine Olga Baltazhy","Netherlands Olga Kamyshleeva"
"2","2002","Swiss system","Lithuania, Vilnius","Netherlands Tanja Chub","Ukraine Olga Baltazhy","Russia Elena Milshina"
"3","2004","Swiss system","Poland, Mława","Ukraine Darya Tkachenko","Russia Elena Milshina","Russia Matrena Nogovitsyna"
"4","2006","Swiss system","Slovenia, Bovec","Ukraine Darya Tkachenko","Netherlands Nina Hoekman","Russia Tamara Tansykkuzhina"
"5","2008","Swiss system","Estonia, Tallinn","Russia Tamara Tansykkuzhina","Ukraine Darya Tkachenko","Russia Matrena Nogovitsyna"
"6","2010","Swiss system","Poland, Sępólno Krajeńskie","Latvia Zoja Golubeva","Russia Tamara Tansykkuzhina","Poland Natalia Sadowska"
"7","2012","Swiss system","Netherlands, Emmen","Latvia Zoja Golubeva","Netherlands Nina Hoekman","Russia Ayyyna Sobakina"
"8","2014","Swiss system","Estonia, Tallinn","Ukraine Olga Baltazhy","Russia Tamara Tansykkuzhina","Latvia Zoja Golubeva"
"9","2016","Swiss system","Turkey, Izmir","Russia Aygul Idrisova","Russia Ksenia Nakhova","Russia Matrena Nogovitsyna"
"10","2018","Swiss system","Russia, Moscow","Russia Matrena Nogovitsyna","Russia Natalia Shestakova","Russia Elena Milshina"
