"No.","Season","Tournament","No. of teams in tournament","Start","Finish","NCAA Champion (number)","Champion Conference","Champion Record","Championship Site"
"30","1976–77","1977","5","","March 26","Wisconsin (2)","WCHA","(37–7–1)","Detroit, Michigan"
"31","1977–78","1978","6","","March 25","Boston University (3)","ECAC","(30–2–0)","Providence, Rhode Island"
"32","1978–79","1979","5","","March 24","Minnesota (3)","WCHA","(32–11–1)","Detroit, Michigan"
"33","1979–80","1980","5","","March 29","North Dakota (3)","WCHA","(31–8–1)","Providence, Rhode Island"
"34","1980–81","1981","8","","March 28","Wisconsin (3)","WCHA","(27–14–1)","Duluth, Minnesota"
"35","1981–82","1982","8","","March 27","North Dakota (4)","WCHA","(35–12–0)","Providence, Rhode Island"
"36","1982–83","1983","8","","March 26","Wisconsin (4)","WCHA","(33–10–4)","Grand Forks, North Dakota"
"37","1983–84","1984","8","","March 24","Bowling Green (1)","CCHA","(34–8–2)","Lake Placid, New York"
"38","1984–85","1985","8","","March 30","Rensselaer (2)","ECAC","(35–2–1)","Detroit, Michigan"
"39","1985–86","1986","8","","March 29","Michigan State (2)","CCHA","(34–9–2)","Providence, Rhode Island"
"40","1986–87","1987","8","","March 28","North Dakota (5)","WCHA","(40–8–0)","Detroit, Michigan"
