"Ranking","Name","Years","Matches","Goals","Ref"
"1","Portugal Eusébio","1961–1975","440","473",""
"2","Portugal José Águas","1950–1963","384","379",""
"3","Portugal Nené","1968–1986","575","359",""
"4","Portugal José Torres","1959–1971","259","226",""
"5","Portugal Arsénio","1943–1955","298","220",""
"6","Portugal Rogério Pipi","1942–1947 1947–1954","314","205",""
"7","Portugal Julinho","1942–1951 1952–1953","200","202",""
"8","Portugal José Augusto","1959–1970","369","175",""
"9","Paraguay Óscar Cardozo","2007–2014","292","172",""
"10","Portugal Nuno Gomes","1997–2000 2002–2011","399","166",""
