"No.","Year","Title","Role","Notes"
"1","2005","Kanne Madanguka","V. Hairkumar",""
"2","2007","Nivedyam","Mohan Krishnan","Won: Asianet award for Best Newcomer"
"3","2008","Sultan","Sivan",""
"3","2008","Cycle","Sanju",""
"4","2009","Dalamarmarangal","Praveen",""
"5","2009","Chattambinadu","Murukan",""
"6","2009","Colours","Rahul",""
"7","2009","Keralotsavam 2009","Sandeep Subramaniam Javed Ibrahim",""
"8","2010","Inganeyum Oral","Rahul",""
"9","2010","Koottukar","Unnikrishnan",""
"10","2010","Holidays","Alby",""
"11","2011","Nadakame Ulakam","Murali",""
"12","2012","Ee Thirakkinidayil","Ananthan",""
"13","2012","Ajantha","Rajappa Ravishankar","Debut film, shot in 2006"
"14","2013","My Dear Mummy","Rahul",""
"15","2014","Bombay Mittayi","Suresh",""
"17","2015","Nee-Na","Sunnykutty",""
"18","2016","Pulimurugan","Manikuttan",""
"19","2017","Jomonte Suvisheshangal","Alfi",""
"20","2018","Sthaanam","Prasad",""
"21","2018","Paviyettante Madhurachooral","",""
"22","2019","Janaadhipan","Anand",""
