"Institution","Location","Founded","Nickname","Joined","Left","Current Conference"
"University of Findlay","Findlay, Ohio","1882","Oilers","1997","2017","Great Midwest"
"Gannon University","Erie, Pennsylvania","1925","Golden Knights","1995","2008","Pennsylvania State"
"Hillsdale College","Hillsdale, Michigan","1844","Chargers","1975","2017","Great Midwest"
"Lake Erie College","Painesville, Ohio","1856","Storm","2010","2017","Great Midwest"
"Malone University","Canton, Ohio","1892","Pioneers","2012","2016","Great Midwest"
"Mercyhurst University","Erie, Pennsylvania","1926","Lakers","1995","2008","Pennsylvania State"
"Oakland University","Rochester, Michigan","1957","Golden Grizzlies","1974","1997","Horizon (NCAA D-I)"
"Ohio Dominican University","Columbus, Ohio","1911","Panthers","2010","2017","Great Midwest"
"Tiffin University","Tiffin, Ohio","1888","Dragons","2008","2018","Great Midwest"
"Walsh University","North Canton, Ohio","1960","Cavaliers","2012","2017","Great Midwest"
"Westminster College","New Wilmington, Pennsylvania","1852","Titans","1997","2000","Presidents (NCAA D-III)"
