"No. overall","No. in season","Title","Directed by","Written by","Featured character(s)","Original air date","U.S. viewers (millions)"
"73","1","%INLINEQ%The Beginning of the End%INLINEQ%","Jack Bender","Damon Lindelof & Carlton Cuse","Hurley","January 31, 2008","16.07"
"74","2","%INLINEQ%Confirmed Dead%INLINEQ%","Stephen Williams","Drew Goddard & Brian K. Vaughan","Faraday, Charlotte, Miles, Frank, Naomi","February 7, 2008","15.06"
"75","3","%INLINEQ%The Economist%INLINEQ%","Jack Bender","Edward Kitsis & Adam Horowitz","Sayid","February 14, 2008","13.62"
"76","4","%INLINEQ%Eggtown%INLINEQ%","Stephen Williams","Elizabeth Sarnoff & Greggory Nations","Kate","February 21, 2008","13.53"
"77","5","%INLINEQ%The Constant%INLINEQ%","Jack Bender","Carlton Cuse & Damon Lindelof","Desmond","February 28, 2008","12.85"
"78","6","%INLINEQ%The Other Woman%INLINEQ%","Eric Laneuville","Drew Goddard & Christina M. Kim","Juliet","March 6, 2008","12.90"
"79","7","%INLINEQ%Ji Yeon%INLINEQ%","Stephen Semel","Edward Kitsis & Adam Horowitz","Sun & Jin","March 13, 2008","11.87"
"80","8","%INLINEQ%Meet Kevin Johnson%INLINEQ%","Stephen Williams","Elizabeth Sarnoff & Brian K. Vaughan","Michael","March 20, 2008","11.28"
"81","9","%INLINEQ%The Shape of Things to Come%INLINEQ%","Jack Bender","Brian K. Vaughan & Drew Goddard","Ben","April 24, 2008","12.33"
"82","10","%INLINEQ%Something Nice Back Home%INLINEQ%","Stephen Williams","Edward Kitsis & Adam Horowitz","Jack","May 1, 2008","11.14"
"83","11","%INLINEQ%Cabin Fever%INLINEQ%","Paul Edwards","Elizabeth Sarnoff & Kyle Pennington","Locke","May 8, 2008","11.28"
"84","12","%INLINEQ%There's No Place Like Home (Part 1)%INLINEQ%","Stephen Williams","Damon Lindelof & Carlton Cuse","Jack, Hurley, Sayid, Sun, Kate","May 15, 2008","11.40"
"8586","1314","%INLINEQ%There's No Place Like Home (Part 2)%INLINEQ%","Jack Bender","Carlton Cuse & Damon Lindelof","Jack, Hurley, Sayid, Sun, Kate","May 29, 2008","12.20"
