"Rank","Name","Height m / feet","Floors","Year","Notes"
"1","Kempinski Hotel","228 / 695","53","2009",""
"2","Guizhou International Merchandise","160 / 524","42","2005",""
"2","Sheraton Hotel Guiyang","158 / 518","38","2005",""
"3","Quanlin International Plaza","151 / 495","40","2002",""
"4","Century Jinyuan Hotel","150 / 493","39","2009",""
"5","Times Mingshi Tower","140 / 459","35","2000",""
"6","Guiyang Central Park","124 / 406","40","2009",""
"7","Jinhao Mansion","121 / 396","38","2006",""
"8","Lanbowan West Tower","110 / 360","32","",""
"9","Lanbowan East Tower","110 / 360","32","",""
"10","Guiyang General Merchandise Tower","108 / 354","34","1987",""
"11","Guiyang Baicheng Hotel","108 / 4354","34","1998",""
"12","Xianghong National Mansion","103/ 337","30","1998",""
"13","Fangzhou Tower","102.7 / 336","28","2001",""
"14","Jiulian Hua Tower","100 / 328","30","2000",""
"15","Zhongshan Tower","99 / 325","28","2002",""
"16","Guixiang Hotel","96 / 314","25","2000",""
"17","Guiyang Wanguo Building","95 / 311","25","2006",""
