"Pos","No.","Driver","Team","Manufacturer","Speed"
"1","28","Cale Yarborough","","Chevrolet","201.848mph"
"2","44","Terry Labonte","","Chevrolet",""
"3","9","Bill Elliott","","Ford",""
"4","22","Bobby Allison","","Buick",""
"5","21","Buddy Baker","","Ford",""
"6","33","Harry Gant","","Chevrolet",""
"7","12","Neil Bonnett","","Chevrolet",""
"8","55","Benny Parsons","","Chevrolet",""
"9","5","Geoff Bodine","","Chevrolet",""
"10","27","Tim Richmond","","Pontiac",""
"11","16","David Pearson","","Chevrolet",""
"12","90","Dick Brooks","","Ford",""
"13","66","Phil Parsons","","Chevrolet",""
"14","15","Ricky Rudd","","Ford",""
"15","7","Kyle Petty","","Ford",""
"16","1","Lake Speed","","Chevrolet",""
"17","77","Ken Ragan","","Chevrolet",""
"18","47","Ron Bouchard","","Buick",""
"19","89","Dean Roper","","Pontiac",""
"20","51","Greg Sacks","","Chevrolet",""
"21","42","Dick Trickle","","Chevrolet",""
"22","8","Bobby Hillin Jr.","","Chevrolet",""
"23","01","Doug Heveron","","Chevrolet",""
"24","4","Lennie Pond","","Chevrolet",""
"25","97","Dean Combs","","Oldsmobile",""
"26","11","Darrell Waltrip","","Chevrolet",""
"27","88","Rusty Wallace","","Pontiac",""
"28","67","Buddy Arrington","","Chrysler",""
"29","3","Dale Earnhardt","","Chevrolet",""
"30","64","Tommy Gale","","Ford",""
"31","98","Joe Ruttman","","Chevrolet",""
"32","14","A.J. Foyt","","Oldsmobile",""
"33","98","Jody Ridley","","Chevrolet",""
"34","43","Richard Petty","","Pontiac",""
"35","48","Trevor Boys","","Chevrolet",""
"36","29","Connie Saylor","","Chevrolet",""
"37","17","Clark Dwyer","","Chevrolet",""
"38","41","Ronnie Thomas","","Chevrolet",""
"39","75","Dave Marcis","","Pontiac",""
"40","10","Sterling Marlin","","Chevrolet",""
"41","52","Jimmy Means","","Chevrolet",""
"42","71","Mike Alexander","","Oldsmobile",""
