"Rank","Common name","Scientific name","Maximum weight (kg)","Image","Head-to-body length (m)","Shoulder height (m)","Native range by continent(s)"
"1","Tiger","Panthera tigris","388.7 (unverified)","-","3.38 (between the pegs)","1.27","Asia"
"2","Lion","Panthera leo","313 (in the wild; disputed)","-","3.64","1.35","Asia, Africa"
"3","Jaguar","Panthera onca","160","-","2.1","1.0","North and South America"
"4","Cougar","Puma concolor","125.2","-","2.8","1.0","North and South America"
"5","Leopard","Panthera pardus","96.5","-","2.2","0.9","Asia, Africa and Europe"
"6","Snow leopard","Panthera uncia","75","-","2.5","0.75","Asia"
"7","Cheetah","Acinonyx jubatus","72","-","2.1","1.0","Africa, Asia"
"8","Eurasian lynx","Lynx lynx","45[not in citation given]","-","1.5","0.75","Asia, Europe"
"9","Sunda clouded leopard","Neofelis diardi","27","-","1.3","0.65","Asia"
"10","Clouded leopard","Neofelis nebulosa","23","Clouded Leopard Neofelis nebulosa by Dr Raju Kasambe DSC 7497 (28).JPG","1.08","0.7","Asia"
