"Image","Brand","Model","Production start","production stop","Note"
"-","Fiat","Fiat 126","1972","1978",""
"-","Fiat","Fiat 131 Berlina/Family","1974","1978",""
"-","Fiat","Fiat Ritmo","1978","1988",""
"Fiat-Regata75ie-Eleganza2.JPG","Fiat","Fiat Regata","1983","1990",""
"Fiat Regata Weekend.JPG","Fiat","Fiat Regata Weekend","1984","1990",""
"-","Fiat","Fiat Tipo and Uno","1988","1995",""
"-","Fiat","Fiat Tempra","1990","1996",""
"-","Fiat","Fiat Bravo/Brava","1995","2001",""
"-","Fiat","Fiat Marea","1999","2003",""
"-","Fiat","Fiat Stilo","2000","2008",""
"2010 Fiat Croma facelift.JPG","Fiat","Fiat Croma","2004","2010",""
"-","Fiat","Fiat Bravo","2007","2014",""
"Lancia Delta III 20090620 front-1.JPG","Lancia","Lancia Delta","2008","2014",""
