"Year","Name","Hometown","Age1","Placement at Miss Teen USA","Special awards at Miss Teen USA","Notes"
"2019","Jadyn McDonough","Bedford","18","","",""
"2018","Natalie Jenkins","Nashua","17","","",""
"2017","Kolby Tracey","Amherst","18","","",""
"2016","Valeria Podobniy","Amherst","17","","",""
"2015","Eleanor Lathram","Manchester","16","","",""
"2014","Mikaela Seamans","Keene","17","","",""
"2013","Kelsea Campbell","Auburn","17","","",""
"2012","Marisa DeLuca","Windham","18","","",""
"2011","Annie Read","Sandwich","17","","",""
"2010","Morgan Lucas","Manchester","18","","",""
"2009","Amber Faucher","Pelham","17","","","Later Miss New Hampshire USA 2013"
"2008","Courtney Morgan","Manchester","18","Top 15","",""
"2007","Alexandra MacDonald","Gilford","18","","",""
"2006","Camille Westbrooks","Salem","18","","","Miss Petite Teen North America 2004, Miss Sunburst USA 2005"
"2005","Brittany Dube","Hampstead","15","","",""
"2004","Brittany Freeman","Merrimack","16","","","Cheerleader for the Miami Dolphins; Daughter of Miss New Hampshire USA 1977 & Miss New Hampshire 1978- Belinda Bridgeman"
"2003","Marshele Lee","Manchester","16","","",""
"2002","Jennifer Stein","Manchester","18","","",""
"2001","Ashley Blair","Manchester","15","","",""
"2000","Kristen O'Neil","Manchester","17","","","Cheerleader for the New England Patriots"
"1999","Kristin Thurston","Manchester","17","","",""
"1998","Nadiyah Humber","Salem","16","","",""
"1997","Bonnie Gagnon","Manchester","18","","",""
"1996","Melissa Coish","Manchester","16","","",""
"1995","Denise Courtney Hill","Manchester","16","","",""
"1994","Keri Lynn Pratt","Derry","16","","","Television and movie actress."
"1993","Gretchen Durgin","Lancaster","17","","","Later Miss New Hampshire USA 1997"
"1992","Angela Etter","Gorham","15","","",""
"1991","Janel Bishop","Manchester","17","Miss Teen USA 1991","",""
"1990","Sarah McFall","Manchester","16","","",""
"1989","Kerri Sossei","Londonderry","15","","",""
"1988","Christa Jones","Keene","17","","",""
"1987","Cara Daras","Nashua","17","","",""
"1986","Diane Dothan","Rochester","17","","",""
"1985","Katherine Borski","Londonderry","16","","",""
"1984","Lisa Fernald","Hampton","15","","",""
"1983","Maureen Murray","Manchester","18","","","Later Miss New York USA 1991, finished 7th at Miss USA 1991"
