"Rank","Year","Artist","Album","Sales","Sources"
"1","1995","Nike Ardilla","Sandiwara Cinta","5,000,000",""
"2","1990","Nike Ardilla","Bintang Kehidupan","4,000,000",""
"3","2004","Noah","Bintang Di Surga","3,200,000",""
"4","2001","Padi","Sesuatu Yang Tetunda","2,000,000",""
"5","2010","Indah Dewi Pertiwi","Hipnotis","2,000,000",""
"6","2012","Noah","Seperti Seharusnya","1,900,000",""
"7","2000","Jamrud","Ningrat","1,800,000",""
"8","2000","Sheila on 7","Kisah Klasik Untuk Masa Depan","1,700,000",""
"9","2000","Dewa 19","Bintang Lima","1,700,000",""
"10","2011","Rossa","The Best of Rossa","1,500,000",""
"11","2004","Radja","Langkah Baru","1,300,000",""
"12","2002","Sheila on 7","07 Des","1,300,000",""
"13","1999/2000","Haddad Alwi","Cinta Rasul 1","1,300,000",""
"14","2005","Noah","Alexandria","1,200,000",""
