"#","Track","Length","BPM","Ref","Artist(s)","From or based in","Ref"
"1","Samba De Janeiro","4:05","133","","Bellini","GermanyGermany",""
"2","Latin Lover","2:43","126","","Popsie","SwedenSweden",""
"3","Stay","2:40","124","","Mizz Maya","DenmarkDenmark",""
"4","Hot Hot Hot","2:43","128","","Splash","United KingdomUnited Kingdom",""
"5","Wham Bam (Shang-A-Lang)","3:12","132","","The Scarlet","Unknown","—"
"6","All I Do","2:56","131","","XXL","GermanyGermany",""
"7","Let Me Feel the Love","2:27","130","","DJ BoBo","SwitzerlandSwitzerland",""
"8","Love Sensation","3:20","128","","911","United KingdomUnited Kingdom",""
"9","Rise Like the Sun","3:12","135","","Worlds Apart","GermanyGermany / United KingdomUK",""
"10","Angel Eyes","3:34","134","","E-Rotic","GermanyGermany",""
"11","Gotta Get It Groovin'","3:18","140","","E-Rotic","GermanyGermany",""
"12","Give Me Tomorrow","2:08","140","","Peach","United KingdomUnited Kingdom",""
"13","Shine Like a Star","3:25","137","","Berri","United KingdomUnited Kingdom",""
"14","Maybe Baby","3:11","138","","Marysia","PolandPoland",""
"15","Hero","3:26","138","","Papaya","DenmarkDenmark",""
"16","No Way No Way","3:01","131","","Vanilla","United KingdomUnited Kingdom",""
"17","Faith in Love","3:16","133","","Bug!","CanadaCanada",""
"18","You Never Know","3:23","143","","Sandi","HungaryHungary",""
"19","Sweet Dreams","3:05","140","","Sharon C.","CroatiaCroatia / ItalyItaly",""
"20","Let Me Be Your Girl","2:58","139","","Fact Or Fiction","CanadaCanada",""
"21","Go-Just Get It","3:34","142","","The Lovers","SwitzerlandSwitzerland",""
"22","Why Don't You","2:38","151","","Pixie","GermanyGermany",""
"23","Sentimental Dreaming","3:25","159","","Jesa X","ItalyItaly",""
"24","Voyager Girl","3:03","160","","Space Nina","SwitzerlandSwitzerland",""
