"Rank","Athlete","Nation","Ponce","Szczecin","Moscow","Ostrava","Turku","Székesfehérvár","Karlstad","Madrid","Rieti","Final score"
"1","Krisztián Pars","Hungary","79.31","79.35","","81.57","79.83","82.49","","","80.78","244.84"
"2","Paweł Fajdek","Poland","","78.15","","79.65","","80.73","","","81.11","241.49"
"3","Dilshod Nazarov","Tajikistan","","78.08","79.20","80.62","77.93","80.24","79.62","80.51","","241.37"
"4","Mostafa Al-Gamel","Egypt","","","","75.66","73.88","78.07","","78.23","78.50","234.80"
"5","Marcel Lomnický","Slovakia","77.48","78.40","","77.91","","75.90","77.93","","76.39","234.24"
"6","Pavel Kryvitski","Belarus","","77.69","78.22","","","76.68","","","76.85","232.76"
"7","Sergey Litvinov","Russia","","","","","74.71","74.81","74.94","","75.88","225.63"
"8","Szymon Ziółkowski","Poland","","74.39","75.37","","73.56","73.50","75.40","","72.56","225.16"
"9","Aleksiy Sokirskiy","Ukraine","","","75.34","75.89","","73.28","","","","224.51"
"10","Markus Esser","Germany","","75.29","","","74.27","74.28","","","","223.84"
"11","Lukáš Melich","Czech Republic","","","","72.75","","71.25","","71.86","","215.86"
