"Pos.","Player","G","ATT","YDS","AVG","LG","TD"
"WR","Jared Abbrederis","13","6","119","19.8","49","2"
"TE","Sam Arneson","13","1","−7","−7.0","0","0"
"RB","Corey Clement","12","67","547","8.2","75","7"
"WR","Kenzel Doe","11","1","−17","−17.0","0","0"
"WR","Jeff Duckworth","10","1","6","6.0","6","0"
"WR","Alex Erickson","13","1","12","12.0","12","0"
"RB","Melvin Gordon","13","206","1,609","7.8","80","12"
"RB","Jeffrey Lewis","2","3","2","0.7","1","0"
"QB","Curt Phillips","3","3","11","3.7","7","0"
"QB","Joel Stave","13","37","−22","−0.6","10","1"
"FB","Derek Watt","12","1","8","8.0","8","0"
"RB","James White","13","221","1,444","6.5","93","13"
