"Year","Date","Winner","Result","Loser","Attendance","Location","Series Record"
"2000","Sunday, October 1","Chicago Bears","27–24","Green Bay Packers","59,869","Green Bay","Bears 84–70–6"
"2000","Sunday, December 3","Green Bay Packers","28–6","Chicago Bears","66,994","Chicago","Bears 84–71–6"
"2001","Sunday, November 11","Green Bay Packers","20–12","Chicago Bears","66,944","Chicago","Bears 84–72–6"
"2001","Sunday, December 9","Green Bay Packers","17–7","Chicago Bears","59,869","Green Bay","Bears 84–73–6"
"2002","Monday, October 7","Green Bay Packers","34–21","Chicago Bears","63,226","Champaign","Bears 84–74–6"
"2002","Sunday, December 1","Green Bay Packers","30–20","Chicago Bears","64,196","Green Bay","Bears 84–75–6"
"2003","Monday, September 29","Green Bay Packers","38–23","Chicago Bears","61,500","Chicago","Bears 84–76–6"
"2003","Sunday, December 7","Green Bay Packers","34–21","Chicago Bears","70,458","Green Bay","Bears 84–77–6"
"2004","Sunday, September 19","Chicago Bears","21–10","Green Bay Packers","70,688","Green Bay","Bears 85–77–6"
"2005","Sunday, January 2","Green Bay Packers","31–14","Chicago Bears","62,197","Chicago","Bears 85–78–6"
"2005","Sunday, December 4","Chicago Bears","19–7","Green Bay Packers","62,177","Chicago","Bears 86–78–6"
"2005","Sunday, December 25","Chicago Bears","24–17","Green Bay Packers","69,757","Green Bay","Bears 87–78–6"
"2006","Sunday, September 10","Chicago Bears","26–0","Green Bay Packers","70,918","Green Bay","Bears 88–78–6"
"2006","Sunday, December 31","Green Bay Packers","26–7","Chicago Bears","62,287","Chicago","Bears 88–79–6"
"2007","Sunday, October 7","Chicago Bears","27–20","Green Bay Packers","70,904","Green Bay","Bears 89–79–6"
"2007","Sunday, December 23","Chicago Bears","35–7","Green Bay Packers","62,272","Chicago","Bears 90–79–6"
"2008","Sunday, November 16","Green Bay Packers","37–3","Chicago Bears","71,040","Green Bay","Bears 90–80–6"
"2008","Monday, December 22","Chicago Bears","20–17","Green Bay Packers","62,151","Chicago","Bears 91–80–6"
"2009","Sunday, September 13","Green Bay Packers","21–15","Chicago Bears","70,920","Green Bay","Bears 91–81–6"
"2009","Sunday, December 13","Green Bay Packers","21–14","Chicago Bears","62,214","Chicago","Bears 91–82–6"
