"Week","Date","Opponent","Result","Attendance"
"1","September 17, 1972","Miami Dolphins","L 20–10","79,829"
"2","September 25, 1972","at New Orleans Saints","W 20–17","70,793"
"3","October 1, 1972","at Denver Broncos","W 45–24","51,656"
"4","October 8, 1972","at Cleveland Browns","W 31–7","83,819"
"5","October 15, 1972","Cincinnati Bengals","L 23–16","79,068"
"6","October 22, 1972","Philadelphia Eagles","L 21–20","78,389"
"7","October 29, 1972","at San Diego Chargers","W 26–14","54,533"
"8","November 5, 1972","Oakland Raiders","W 27–14","82,094"
"9","November 12, 1972","at Pittsburgh Steelers","L 16–7","50,350"
"10","November 19, 1972","San Diego Chargers","L 27–17","79,011"
"11","November 26, 1972","at Oakland Raiders","L 26–3","54,801"
"12","December 3, 1972","Denver Broncos","W 24–21","66,725"
"13","December 10, 1972","Baltimore Colts","W 24–10","44,175"
"14","December 17, 1972","at Atlanta Falcons","W 17–14","58,850"
