"Rank","Name","Image","Height ft / m","Floors","Year","Notes"
"1","Xerox Tower","Xerox Tower.JPG","443 / 135","30","1968","Third tallest building in New York outside of New York City"
"2","Legacy Tower","-","401 / 122","20","1995","Formerly known as Bausch & Lomb Place. Only the spire makes it taller than The Metropolitan"
"3","The Metropolitan","-","392 / 119","27","1973","Formerly known as Chase Tower, renamed and partially converted to residential."
"4","Kodak Tower","-","360 / 110","19","1914","Expanded in 1930 from 16 to 19 stories and tower"
"5","First Federal Plaza","-","309 / 94","21","1976",""
"6","Five Star Bank Plaza","-","284 / 87","21","1970","Formerly known as One HSBC Plaza"
"7","Hyatt Regency Hotel","-","271 / 83","25","1990",""
"8","Times Square Building","-","260 / 79","14","1930",""
"9","Tower 280","-","251 / 77","18","1962 / 2015","Once part of Midtown Plaza. Refitted into offices and residential units"
"10","Saint Michael's Church","St. Michael's Church, Rochester, NY.JPG","246 / 75","1","1890",""
"11","Temple Building","","218 / 66","14","1925",""
"12","Crossroads Building","","215 / 66","15","1969",""
"13","Eastman School of Music Student Living Center","","213 / 65","14","1990",""
"14","Seneca Towers Apartments","","212 / 65","22","1968",""
"15","Sibley Center","","203 / 62","12","1926",""
"16","Clinton Square Building","","200 / 61","14","1990",""
