"Team","City/Area","Arena","Founded","1st Season","Last Season","Status"
"Baltimore Blast","Baltimore","Baltimore Arena","1992","2008","2014","Departed in 2014 for MASL"
"Chicago Riot","Chicago","Odeum Expo Center","2010","2010","2011","Folded in 2011"
"Chicago Soul","Hoffman Estates, Illinois (Chicago area)","Sears Centre","2012","2012","2013","Folded in 2013"
"Massachusetts Twisters","West Springfield, Massachusetts","The Big E Coliseum","2003","2008","2009","Folded in 2009"
"Milwaukee Wave","Milwaukee","U.S. Cellular Arena","1984","2009","2014","Departed in 2014 for MASL"
"Missouri Comets","Independence, Missouri (Kansas City area)","Silverstein Eye Centers Arena","2010","2010","2014","Departed in 2014 for MASL"
"Monterrey La Raza","Monterrey, Nuevo León","Monterrey Arena","2007","2008","2010","Folded in 2010"
"Norfolk SharX","Norfolk, Virginia","Norfolk Scope","2010","2011","2012","Folded in 2012"
"Omaha Vipers","Omaha, Nebraska","Omaha Civic Auditorium","2010","2010","2011","Departed in 2011 for PASL; folded before season began"
"Orlando Sharks†","Orlando, Florida","Amway Arena","2007","2008","2008","Folded in 2008"
"Pennsylvania Roar","Reading, Pennsylvania","Santander Arena","2013","2013","2014","Folded in 2014"
"Philadelphia KiXX","Philadelphia","Liacouras Center","1995","2008","2010","Folded in 2010"
"Rochester Lancers","Rochester, New York","Blue Cross Arena","2010","2010","2014","Departed in 2014 for MASL"
"Rockford Rampage","Rockford, Illinois","Rockford MetroCentre","2005","2008","2010","Folded in 2010"
"St. Louis Ambush","St. Charles, Missouri (St. Louis area)","Family Arena","2013","2013","2014","Departed in 2014 for MASL"
"Syracuse Silver Knights","Syracuse, New York","War Memorial at Oncenter","2010","2010","2014","Departed in 2014 for MASL"
"Wichita Wings","Park City, Kansas (Wichita area)","Hartman Arena","2011","2011","2013","Folded in 2013"
