"Season","Class","Team","Motorcycle","Type","Races","Wins","Podiums","Poles","Fastest Laps","Pts","Position"
"2005","125cc","Kiefer-Bos-Castrol Honda","Honda","Honda RS125R","16","0","0","0","0","8","26th"
"2006","125cc","Elit – Caffè Latte","Honda","Honda RS125R","16","0","0","0","0","23","17th"
"2007","125cc","Emmi – Caffè Latte","Aprilia","Aprilia RS125","17","0","0","0","0","66","14th"
"2008","125cc","Emmi – Caffè Latte","Aprilia","Aprilia RSA 125","17","0","0","0","1","141","8th"
"2009","125cc","Ajo Interwetten","Derbi","Derbi RSA 125","16","0","3","1","2","130","6th"
"2010","125cc","Avant-Mitsubishi-Ajo","Derbi","Derbi RS 125 R","17","0","2","1","2","143","7th"
"2011","125cc","Intact-Racing Team Germany","Aprilia","Aprilia RSA 125","17","2","6","1","2","225","4th"
"2012","Moto3","Red Bull KTM Ajo","KTM","KTM RC250GP","17","5","15","7","4","325","1st"
"2013","Moto2","Dynavolt Intact GP","Kalex","Kalex Moto2","17","0","0","0","0","22","19th"
"2014","Moto2","Dynavolt Intact GP","Kalex","Kalex Moto2","18","0","1","0","0","85","9th"
"2015","Moto2","Dynavolt Intact GP","Kalex","Kalex Moto2","18","0","1","0","0","90","11th"
"2016","Moto2","Dynavolt Intact GP","Kalex","Kalex Moto2","17","0","1","0","0","61","15th"
"2017","Moto2","Dynavolt Intact GP","Suter","Suter MMX2","18","0","0","0","0","43","18th"
"Total","","","","","221","7","29","10","11","1362",""
