"Tenure","Coach","Years","Record","Pct."
"1896–1899","Walter M Riggs","2","6–3",".667"
"1897","William M. Williams","1","2–2",".500"
"1898","John A. Penton","1","3–1",".750"
"1900–1903","John W. Heisman","4","19–3–2",".833"
"1904","Shack Shealy","1","3–3–1",".500"
"1905","Edward B. "Eddie" Cochems","1","3–2–1",".583"
"1906–1915","Bob Williams","5","22–14–6",".595"
"1907","Frank J. Shaughnessy","1","4–4–0",".500"
"1908","Stein Stone","1","1–6–0",".143"
"1910–1912","Frank M. Dobson","3","11–12–1",".479"
"1916","Wayne Hart","1","3–6",".333"
"1917–1920","Edward A. Donahue","4","21–12–3",".625"
"1921–1922","Edward J. "Doc" Stewart","2","6–10–2",".389"
"1923–1926","Bud Saunders","4","10–22–1",".318"
"1927–1930","Josh C. Cody","4","29–11–1",".720"
"1931–1939","Jess C. Neely","9","43–35–7",".547"
"1940–1969","Frank Howard","30","165–118–12",".580"
"1970–1972","Hootie Ingram","3","12–21",".364"
"1973–1976","Jimmy "Red" Parker","4","17–25–2",".409"
"1977–1978","Charley Pell","2","18–4–1",".804"
"1978–1989","Danny Ford","12","96–29–4",".760"
"1990–1993","Ken Hatfield","4","32–13–1",".707"
"1993–1998","Tommy West","6","31–28",".525"
"1999–2008","Tommy Bowden","10","72–45",".615"
"2008–current","Dabo Swinney","11","116–30",".795"
