"Rank","Population","Name","Former Name","Municipality"
"1","17,796","Nuuk","Godthåb Godthaab Neu-Herrnhut","Sermersooq"
"2","5,491","Sisimiut","Holsteinsborg","Qeqqata"
"3","4,563","Ilulissat","Jakobshavn","Avannaata"
"4","3,120","Aasiaat","Egedesminde","Qeqertalik"
"5","3,093","Qaqortoq","Julianehåb Julianehaab","Kujalleq"
"6","2,534","Maniitsoq","Nye-Sukkertoppen Sukkertoppen","Qeqqata"
"7","2,006","Tasiilaq","Ammassalik Angmagssalik","Sermersooq"
"8","1,365","Narsaq","Nordprøven","Kujalleq"
"9","1,359","Uummannaq","Omenak","Avannaata"
"10","1,355","Paamiut","Frederikshåb Frederikshaab","Sermersooq"
"11","1,236","Nanortalik","Nennortalik","Kujalleq"
"12","1,105","Qasigiannguit","Christianshåb Christianshaab","Qeqertalik"
"13","1,067","Upernavik","—","Avannaata"
