"Pos","No","Driver","Constructor","Time"
"1","1","United Kingdom Jim Clark","Lotus-Climax","1:12.65"
"2","7","United Kingdom John Surtees","Ferrari","1:12.78"
"3","6","United States Dan Gurney","Brabham-Climax","1:12.90"
"4","3","United Kingdom Graham Hill","BRM","1:12.92"
"5","9","New Zealand Bruce McLaren","Cooper-Climax","1:13.10"
"6","2","United Kingdom Mike Spence","Lotus-Climax","1:13.33"
"7","5","Australia Jack Brabham","Brabham-Climax","1:13.63"
"8","8","Italy Lorenzo Bandini","Ferrari","1:13.85"
"9","16","Sweden Jo Bonnier","Brabham-Climax","1:14.07"
"10","11","United Kingdom Innes Ireland","BRP-BRM","1:14.35"
"11","15","New Zealand Chris Amon","Lotus-BRM","1:14.43"
"12","22","Switzerland Jo Siffert","Brabham-BRM","1:14.65"
"13","4","United States Richie Ginther","BRM","1:14.67"
"14","25","United States Ronnie Bucknum","Honda","1:14.90"
"15","12","United Kingdom Trevor Taylor","BRP-BRM","1:15.30"
"16","14","United Kingdom Mike Hailwood","Lotus-BRM","1:15.65"
"17","17","United States Walt Hansgen","Lotus-Climax","1:15.90"
"18","23","United States Hap Sharp","Brabham-BRM","1:18.23"
"19","10","United States Phil Hill","Cooper-Climax","1:19.63"
