"Pos","No.","Driver","Tires","Chassis","Engine","Team"
"1","31","Brazil Andre Ribeiro","Firestone","Lola","Honda","Tasman Motorsports"
"2","4","Italy Alex Zanardi","Firestone","Reynard","Honda","Chip Ganassi Racing"
"3","32","Mexico Adrian Fernandez","Firestone","Lola","Honda","Tasman Motorsports"
"4","20","United States Scott Pruett","Firestone","Lola","Cosworth","Patrick Racing"
"5","99","Canada Greg Moore","Firestone","Reynard","Cosworth","Forsythe Racing"
"6","49","United States Parker Johnstone","Firestone","Reynard","Honda","Comptech Racing"
"7","2","United States Al Unser, Jr.","Goodyear","Penske","Mercedes-Benz","Team Penske"
"8","18","United States Bobby Rahal","Goodyear","Reynard","Mercedes-Benz","Team Rahal"
"9","8","Brazil Gil de Ferran","Goodyear","Reynard","Honda","Jim Hall Racing"
"10","6","United States Michael Andretti","Goodyear","Lola","Cosworth","Newman/Haas Racing"
"11","12","United States Jimmy Vasser","Firestone","Reynard","Honda","Chip Ganassi Racing"
"12","28","United States Bryan Herta","Goodyear","Reynard","Mercedes-Benz","Team Rahal"
"13","3","Canada Paul Tracy","Goodyear","Penske","Mercedes-Benz","Team Penske"
"14","11","Brazil Christian Fittipaldi","Goodyear","Lola","Cosworth","Newman/Haas Racing"
"15","9","Brazil Emerson Fittipaldi","Goodyear","Penske","Mercedes-Benz","Hogan/Penske Racing"
"16","21","United Kingdom Mark Blundell","Goodyear","Reynard","Cosworth","PacWest Racing"
"17","17","Brazil Maurício Gugelmin","Goodyear","Reynard","Cosworth","PacWest Racing"
"18","5","United States Robby Gordon","Goodyear","Reynard","Cosworth","Walker Racing"
"19","1","Brazil Raul Boesel","Firestone","Reynard","Honda","Brahma Sports Team/Team Green"
"20","25","United States Jeff Krosnoff","Firestone","Reynard","Toyota","Arciero-Wells Racing"
"21","16","Sweden Stefan Johansson","Goodyear","Reynard","Mercedes-Benz","Bettenhausen Racing"
"22","34","Brazil Roberto Moreno","Goodyear","Lola","Cosworth","Payton/Coyne Racing"
"23","15","Canada Scott Goodyear","Goodyear","Reynard","Cosworth","Walker Racing"
"24","10","United States Eddie Lawson","Goodyear","Lola","Mercedes-Benz","Galles Racing"
"25","98","United States P.J. Jones","Goodyear","Eagle","Toyota","All American Racers"
"26","44","United States Richie Hearn","Goodyear","Lola","Cosworth","Della Penna Motorsports"
"27","36","Argentina Juan Manuel Fangio II","Goodyear","Eagle","Toyota","All American Racers"
"28","19","Japan Hiro Matsushita","Firestone","Lola","Cosworth","Payton/Coyne Racing"
