"No. overall","No. in season","Title","Directed by","Written by","Original air date","Spain viewers (millions)"
"1","1","%INLINEQ%Mirador de Montepinar%INLINEQ%","Laura Caballero","Alberto Caballero","April 22, 2007","4.16"
"2","2","%INLINEQ%Okupas, flechazos y un golpe en el garaje%INLINEQ%","Laura Caballero","Alberto Caballero","April 29, 2007","3.30"
"3","3","%INLINEQ%Azulejos, un polígrafo y un paquete por correo%INLINEQ%","Laura Caballero","Alberto Caballero","May 6, 2007","3.06"
"4","4","%INLINEQ%Un moroso, un secuestro y un armario en el rellano%INLINEQ%","Laura Caballero","Alberto Caballero","May 13, 2007","3.36"
"5","5","%INLINEQ%Un romance, un marchoso y una vaca en el jardín%INLINEQ%","Laura Caballero","Alberto Caballero","May 20, 2007","3.59"
"6","6","%INLINEQ%Un voyeur, una inspección y una tarjeta de crédito%INLINEQ%","Laura Caballero","Alberto Caballero","May 27, 2007","3.72"
"7","7","%INLINEQ%Un reencuentro, un desalojo y un torneo de pádel%INLINEQ%","Laura Caballero","Alberto Caballero","June 3, 2007","3.42"
"8","8","%INLINEQ%Mentiras, antidepresivos y una nevera de Troya%INLINEQ%","Laura Caballero","Alberto Caballero","June 10, 2007","3.63"
"9","9","%INLINEQ%Un chantaje, una exclusiva y un escándalo inmobiliario%INLINEQ%","Laura Caballero","Alberto Caballero","June 17, 2007","2.71"
"10","10","%INLINEQ%Singles, gatillazos y un percance en la piscina%INLINEQ%","Laura Caballero","Alberto Caballero","July 1, 2007","2.98"
"11","11","%INLINEQ%Un usufructo, un strip-tease y una visita al moroso%INLINEQ%","Laura Caballero","Alberto Caballero","July 8, 2007","2.89"
"12","12","%INLINEQ%Celos, papilomas y una separación conflictiva%INLINEQ%","Laura Caballero","Alberto Caballero","July 15, 2007","2.35"
"13","13","%INLINEQ%Sobornos, detenciones y un matrimonio de conveniencia%INLINEQ%","Laura Caballero","Alberto Caballero","July 22, 2007","2.17"
