"Island","Main Town or Capital","Other Towns","Area (km²)","Population"
"Vanua Levu Group","Labasa","Savusavu, Bua","6261","138000"
"Buca Bay Islands","","","0.042","0"
"Cikobia-i-Lau","","","12.46","1"
"Dogodogo Island","","","0.19","0"
"East Macuata Coast Islands","","","7.65","1"
"Kia Island","","","1.69","1"
"Kioa","Salia","Lomanikoro, Matagi, Naba, Naumu, Niu Degree, Nukusa, Silver Bay, Fiji, Tafatai Lasi, Taite, Temotu, Vunikura","19.32","400"
"Korolevu Island","","","1","0"
"Laucala","Laucala","","12.4","300"
"Mali Islands","","","9.255","1"
"Matagi Island","","","0.97","1"
"Namena Lala","","","0.455","1"
"Navidamu Islands","","","32.72","1"
"Nukubati Islands","Nukubati","","0.623","10"
"Other","","","0.271","1031"
"Qamea","Kocoma","Dreketi, Nadiodio, Naiviivi, Togo, Vatusogosogo, Waibulu","34.5","2182"
"Rabi Island","Tabwewa","Buakonikai, Tabiang, Uma","67.3","5000"
"Ringgold Isles","Qelelevu (Nalutu)",", Nanuku, Nukubalati, Yanuca","6.12","50"
"Taveuni","Waiyevo","Bouma, Deleni, Gacaavulu, Kanacea, Korovou, Lavena, Matei, Naqara, Naselesele, Navakawau, Salialevu, Somosomo, Soqulu, Vuna, Wairiki, Welagi","434.5","9000"
"Vanua Levu","Labasa","Bua, Nabiti, Nadivakarua, Nailou, Sasa, Savusavu, Solevu, Wainigadru","5587.1","120000"
"Viani Coast Islands","","","0.78","6"
"Viubani Islands","","","0.284","2"
"Vorovoro","","","0.43","1"
"West Macuata Coast Islands","Macuata-i-Wai","Cukini, Nagano, Nukunuku, Talailau","15.93","10"
"Yadua","","","14.31","1"
"Yadua Tabu","","","0.7","0"
