"English name","County","Area Acres","Population 2011","Area Rank","Population Rank"
"Great Island","Cork","6115",">13000","4","1"
"Achill Island","Mayo","35283","2569","1","2"
"Gorumna","Galway","5871","1055","5","3"
"Inishmore","Galway","7635","845","2","4"
"Valentia Island or Valencia Island","Kerry","6371","665","3","5"
"Lettermore","Galway","2254","548","12","6"
"Arranmore or Aran Island","Donegal","4335","514","7","7"
"Inch Island","Donegal","3425","448","10","8"
"Inisheer or Inishere","Galway","1400","249","17","9"
"Lettermullen or Lettermullan","Galway","787","241","25","10"
"Bere Island or Bear Island","Cork","4372","216","6","11"
"Clare Island","Mayo","3949","168","8","12"
"Rathlin Island","Antrim","3552","c.100","9","c.22"
