"County","Clinton","Votes","Trump","Votes","Others","Votes","Total"
"Addison","59.0%","11,219","27.8%","5,297","13.2%","2,515","19,031"
"Bennington","54.9%","9,539","34.1%","5,925","11.0%","1,917","17,381"
"Caledonia","45.8%","6,445","39.3%","5,534","14.9%","2,095","14,074"
"Chittenden","65.7%","54,814","22.3%","18,601","12.0%","10,001","83,416"
"Essex","34.8%","1,019","51.5%","1,506","13.7%","400","2,925"
"Franklin","43.7%","9,351","40.9%","8,752","15.5%","3,308","21,411"
"Grand Isle","51.0%","2,094","36.2%","1,487","12.9%","528","4,109"
"Lamoille","56.7%","7,241","28.0%","3,570","15.3%","1,951","12,762"
"Orange","51.5%","7,541","34.2%","5,007","14.3%","2,101","14,649"
"Orleans","43.0%","5,185","42.8%","5,159","14.1%","1,702","12,046"
"Rutland","46.0%","13,635","42.1%","12,479","11.8%","3,501","29,615"
"Washington","59.8%","18,594","25.7%","7,993","14.5%","4,499","31,086"
"Windham","63.4%","14,340","24.1%","5,454","12.6%","2,840","22,634"
"Windsor","58.7%","17,556","28.8%","6,805","12.6%","3,767","28,128"
