"Player","Years","GP","G","A","Pts","PIM"
"Ryan Soderquist","1996–2000","","84","89","173",""
"Brett Gensler","2010–2014","145","73","94","167",""
"Andrew Gladiuk","2012–2016","144","72","81","153",""
"John Maguire","1980–1984","","58","91","149",""
"Max French","2013–2017","138","67","76","143",""
"Gary See","1979–1983","","52","89","141",""
"Alex Grieve","2011–2015","139","55","73","128",""
"Dain Prewitt","2005–2009","145","60","66","126",""
"Shawn Smith","1995–1999","","52","74","126",""
"Brian Gangemi","1997–2000","","56","65","121",""
"Joe Maguire","1977–1981","","65","56","121",""
