"Rank","Name","Nation","Score","Event"
"1","Alexandra Trusova","Russia","225.52","2018 World Junior Championships"
"2","Alina Zagitova","Russia","208.60","2017 World Junior Championships"
"3","Alena Kostornaia","Russia","207.39","2018 World Junior Championships"
"4","Marin Honda","Japan","201.61","2017 World Junior Championships"
"5","Anastasia Tarakanova","Russia","199.64","2017–18 Junior Grand Prix Final"
"6","Daria Panenkova","Russia","196.55","2017 JGP Poland"
"7","Kaori Sakamoto","Japan","195.54","2017 World Junior Championships"
"8","Polina Tsurskaya","Russia","195.28","2015–16 Junior Grand Prix Final"
"9","Mako Yamashita","Japan","195.17","2018 World Junior Championships"
"10","Anastasiia Gubanova","Russia","194.57","2016 JGP Germany"
"11","Elena Radionova","Russia","194.29","2014 World Junior Championships"
"12","Rika Kihira","Japan","194.24","2016 JGP Slovenia"
"13","Evgenia Medvedeva","Russia","192.97","2015 World Junior Championships"
"14","Sofia Samodurova","Russia","192.19","2017 JGP Italy"
"15","Serafima Sakhanovich","Russia","191.96","2014 JGP Slovenia"
"16","Maria Sotskova","Russia","188.72","2016 World Junior Championships"
"17","Elizaveta Nugumanova","Russia","188.43","2016 JGP Estonia"
"18","Yulia Lipnitskaya","Russia","187.05","2012 World Junior Championships"
"19","Yuna Shiraiwa","Japan","186.80","2015 JGP Spain"
"20","Alisa Fedichkina","Russia","186.38","2015 JGP Spain"
"21","Stanislava Konstantinova","Russia","186.35","2018 World Junior Championships"
"22","Lim Eun-soo","South Korea","186.34","2017 JGP Austria"
