"","Player","Hometown","Origin","Drafted by","Year","Round","Overall"
"D","Mikhail Tatarinov","Angarsk","Russian SFSR","Washington Capitals","1984","11","225"
"RW","Dmitri Khristich","Kiev","Ukrainian SSR","Washington Capitals","1988","6","120"
"D","Alexander Godynyuk","Kiev","Ukrainian SSR","Toronto Maple Leafs","1990","6","115"
"C","Alexander Kuzminsky","Kiev","Ukrainian SSR","Toronto Maple Leafs","1991","6","120"
"D","Alexei Zhitnik","Kiev","Ukrainian SSR","Los Angeles Kings","1991","4","81"
"RW","Ivan Vologjaninov","Kiev","Ukraine","Los Angeles Kings","1992","11","254"
"D","Yurii Hunko","Kiev","Ukraine","St. Louis Blues","1992","10","230"
"D","Aleksandr Alekseyev","Kiev","Ukraine","Winnipeg Jets","1992","6","132"
"D","Andrei Buschan","Kiev","Ukraine","San Jose Sharks","1993","5","106"
"G","Igor Karpenko","Kiev","Ukraine","Mighty Ducks of Anaheim","1995","8","185"
"LW","Anatolii Koveshnikov","Kiev","Ukraine","Dallas Stars","1995","8","193"
