"Year","Dates","Rounds","Field","Avg. Elo","Top score","Winners"
"1971","March 14–20","7","33","2190","6","Larry Evans (United States)"
"1972","March 12–18","7","35","2262","6","Svetozar Gligorić (Yugoslavia)"
"1973","March 18–24","7","48","2322","6","Arthur Bisguier (United States)"
"1974","March 24–30","7","53","2310","6","Walter Browne (United States)"
"1975","April 13–24","10","44","2428","7½","Vladimir Liberzon (Israel)"
"1976","March 7–13","7","57","2371","5½","Tigran Petrosian (Soviet Union)"
"1977","March 20–30","9","48","2410","6½","Yuri Balashov (Soviet Union) Dragutin Sahović (Yugoslavia) Oscar Panno (Argentina) Nona Gaprindashvili (Soviet Union)"
"1978","April 1–12","9","68","2431","7½","Bent Larsen (Denmark)"
"1979","March 25–April 4","9","73","2444","6½","Svetozar Gligorić (Yugoslavia) Florin Gheorghiu (Romania) Vladimir Liberzon (Israel) Vlastimil Hort (Czechoslovakia)"
"1980","March 16–26","9","43","2487","7","Roman Dzindzichashvili (Israel)"
"1981","March 29–April 8","9","61","","7","Viktor Korchnoi (Switzerland)"
